FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
30, Montana,2011,9,785840,502388,63.9,469513,59.7,32875,6.5
31, Nebraska,2011,9,1402092,1006289,71.8,962554,68.7,43735,4.3
32, Nevada,2011,9,2096935,1364043,65,1183282,56.4,180761,13.3
33, New Hampshire,2011,9,1061794,737544,69.5,697156,65.7,40388,5.5
34, New Jersey,2011,9,6924262,4570767,66,4143983,59.8,426784,9.3
35, New Mexico,2011,9,1586218,926262,58.4,858392,54.1,67870,7.3
36, New York,2011,9,15497710,9536393,61.5,8732476,56.3,803917,8.4
51000, New York city,2011,9,6640421,3983763,60,3614116,54.4,369647,9.3
37, North Carolina,2011,9,7435507,4668641,62.8,4186860,56.3,481781,10.3
38, North Dakota,2011,9,535206,389260,72.7,376216,70.3,13044,3.4
39, Ohio,2011,9,9003266,5760793,64,5256975,58.4,503818,8.7
40, Oklahoma,2011,9,2873141,1772359,61.7,1673387,58.2,98972,5.6
41, Oregon,2011,9,3074353,1995988,64.9,1805189,58.7,190799,9.6
42, Pennsylvania,2011,9,10129765,6395422,63.1,5892027,58.2,503395,7.9
44, Rhode Island,2011,9,844999,560162,66.3,498282,59,61880,11
45, South Carolina,2011,9,3619601,2189084,60.5,1964431,54.3,224653,10.3
46, South Dakota,2011,9,625300,446041,71.3,426311,68.2,19730,4.4
47, Tennessee,2011,9,4983075,3114511,62.5,2835806,56.9,278705,8.9
48, Texas,2011,9,19042812,12559256,66,11556548,60.7,1002708,8
49, Utah,2011,9,1998526,1338091,67,1250211,62.6,87880,6.6
50, Vermont,2011,9,510881,356866,69.9,337751,66.1,19115,5.4
51, Virginia,2011,9,6259719,4219107,67.4,3940336,62.9,278771,6.6
53, Washington,2011,9,5325852,3434445,64.5,3146622,59.1,287823,8.4
54, West Virginia,2011,9,1487296,807653,54.3,745687,50.1,61966,7.7
55, Wisconsin,2011,9,4462951,3074803,68.9,2842921,63.7,231882,7.5
56, Wyoming,2011,9,438037,303525,69.3,285193,65.1,18332,6
01, Alabama,2011,10,3731395,2194108,58.8,1992980,53.4,201128,9.2
02, Alaska,2011,10,531239,365963,68.9,337901,63.6,28062,7.7
04, Arizona,2011,10,4949772,3047502,61.6,2769137,55.9,278365,9.1
05, Arkansas,2011,10,2259197,1363485,60.4,1257461,55.7,106024,7.8
06, California,2011,10,29057308,18470587,63.6,16320810,56.2,2149777,11.6
037, Los Angeles County,2011,10,7753410,4942265,63.7,4344240,56,598025,12.1
08, Colorado,2011,10,3945966,2747237,69.6,2511976,63.7,235261,8.6
09, Connecticut,2011,10,2834869,1917084,67.6,1750252,61.7,166832,8.7
10, Delaware,2011,10,713826,445636,62.4,412856,57.8,32780,7.4
11, District of Columbia,2011,10,520366,353701,68,317989,61.1,35712,10.1
12, Florida,2011,10,15276781,9276833,60.7,8387525,54.9,889308,9.6
13, Georgia,2011,10,7408384,4764049,64.3,4291750,57.9,472299,9.9
15, Hawaii,2011,10,1059477,659648,62.3,614041,58,45607,6.9
16, Idaho,2011,10,1183280,767335,64.8,706484,59.7,60851,7.9
17, Illinois,2011,10,9965604,6589604,66.1,5936827,59.6,652777,9.9
18, Indiana,2011,10,5012382,3204480,63.9,2915887,58.2,288593,9
19, Iowa,2011,10,2380345,1668085,70.1,1575631,66.2,92454,5.5
20, Kansas,2011,10,2165921,1498563,69.2,1405412,64.9,93151,6.2
21, Kentucky,2011,10,3377830,2058960,61,1870409,55.4,188551,9.2
22, Louisiana,2011,10,3486935,2083093,59.7,1931181,55.4,151912,7.3
23, Maine,2011,10,1080688,700205,64.8,647591,59.9,52614,7.5
24, Maryland,2011,10,4568504,3103611,67.9,2879948,63,223663,7.2
25, Massachusetts,2011,10,5312353,3493484,65.8,3248942,61.2,244542,7
26, Michigan,2011,10,7766568,4684885,60.3,4227863,54.4,457022,9.8
27, Minnesota,2011,10,4160868,2955882,71,2772119,66.6,183763,6.2
28, Mississippi,2011,10,2248307,1345330,59.8,1215492,54.1,129838,9.7
29, Missouri,2011,10,4656052,3029495,65.1,2780269,59.7,249226,8.2
30, Montana,2011,10,786491,503378,64,471088,59.9,32290,6.4
31, Nebraska,2011,10,1403237,1007812,71.8,964612,68.7,43200,4.3
32, Nevada,2011,10,2099973,1364991,65,1186737,56.5,178254,13.1
33, New Hampshire,2011,10,1062650,738453,69.5,698579,65.7,39874,5.4
34, New Jersey,2011,10,6927435,4574465,66,4148948,59.9,425517,9.3
35, New Mexico,2011,10,1587275,927035,58.4,859120,54.1,67915,7.3
36, New York,2011,10,15506251,9548032,61.6,8739046,56.4,808986,8.5
51000, New York city,2011,10,6645971,3990025,60,3616646,54.4,373379,9.4
37, North Carolina,2011,10,7444568,4674451,62.8,4196794,56.4,477657,10.2
38, North Dakota,2011,10,536281,390370,72.8,377584,70.4,12786,3.3
39, Ohio,2011,10,9005983,5753316,63.9,5263328,58.4,489988,8.5
40, Oklahoma,2011,10,2875894,1777478,61.8,1678931,58.4,98547,5.5
41, Oregon,2011,10,3077143,1996000,64.9,1807834,58.8,188166,9.4
42, Pennsylvania,2011,10,10133621,6403565,63.2,5903108,58.3,500457,7.8
44, Rhode Island,2011,10,845411,560083,66.2,498375,59,61708,11
45, South Carolina,2011,10,3624094,2189390,60.4,1969230,54.3,220160,10.1
46, South Dakota,2011,10,626067,446633,71.3,427114,68.2,19519,4.4
47, Tennessee,2011,10,4987636,3111419,62.4,2838553,56.9,272866,8.8
48, Texas,2011,10,19075801,12570673,65.9,11594803,60.8,975870,7.8
49, Utah,2011,10,2001502,1336631,66.8,1254196,62.7,82435,6.2
50, Vermont,2011,10,510996,356776,69.8,338090,66.2,18686,5.2
51, Virginia,2011,10,6268025,4224836,67.4,3948490,63,276346,6.5
53, Washington,2011,10,5332729,3436373,64.4,3152344,59.1,284029,8.3
54, West Virginia,2011,10,1487533,808794,54.4,747742,50.3,61052,7.5
55, Wisconsin,2011,10,4465132,3076325,68.9,2847838,63.8,228487,7.4
56, Wyoming,2011,10,438779,304140,69.3,285821,65.1,18319,6
01, Alabama,2011,11,3733018,2190069,58.7,1994495,53.4,195574,8.9
02, Alaska,2011,11,531683,365959,68.8,338096,63.6,27863,7.6
04, Arizona,2011,11,4956614,3047623,61.5,2774329,56,273294,9
05, Arkansas,2011,11,2260105,1364537,60.4,1260075,55.8,104462,7.7
06, California,2011,11,29086234,18475806,63.5,16356584,56.2,2119222,11.5
037, Los Angeles County,2011,11,7759668,4937350,63.6,4347615,56,589735,11.9
08, Colorado,2011,11,3951498,2750166,69.6,2516276,63.7,233890,8.5
09, Connecticut,2011,11,2836156,1917061,67.6,1752728,61.8,164333,8.6
10, Delaware,2011,11,714415,446063,62.4,413853,57.9,32210,7.2
11, District of Columbia,2011,11,521239,354283,68,319110,61.2,35173,9.9
12, Florida,2011,11,15295953,9285382,60.7,8409108,55,876274,9.4
13, Georgia,2011,11,7416536,4767256,64.3,4301696,58,465560,9.8
15, Hawaii,2011,11,1060261,658261,62.1,613338,57.8,44923,6.8
16, Idaho,2011,11,1184380,768639,64.9,708451,59.8,60188,7.8
17, Illinois,2011,11,9968779,6590025,66.1,5950626,59.7,639399,9.7
18, Indiana,2011,11,5014631,3204528,63.9,2921443,58.3,283085,8.8
19, Iowa,2011,11,2381354,1667807,70,1576906,66.2,90901,5.5
20, Kansas,2011,11,2166958,1498063,69.1,1406203,64.9,91860,6.1
21, Kentucky,2011,11,3379079,2057306,60.9,1873049,55.4,184257,9
22, Louisiana,2011,11,3488699,2085470,59.8,1934241,55.4,151229,7.3
23, Maine,2011,11,1080869,700345,64.8,648450,60,51895,7.4
24, Maryland,2011,11,4572406,3106452,67.9,2885725,63.1,220727,7.1
25, Massachusetts,2011,11,5316976,3496743,65.8,3255358,61.2,241385,6.9
26, Michigan,2011,11,7769497,4686341,60.3,4238754,54.6,447587,9.6
27, Minnesota,2011,11,4163536,2953876,70.9,2775177,66.7,178699,6
28, Mississippi,2011,11,2248891,1343817,59.8,1216515,54.1,127302,9.5
29, Missouri,2011,11,4657686,3025832,65,2783434,59.8,242398,8
30, Montana,2011,11,787015,503969,64,472384,60,31585,6.3
31, Nebraska,2011,11,1404152,1008729,71.8,966232,68.8,42497,4.2
32, Nevada,2011,11,2102736,1365040,64.9,1190017,56.6,175023,12.8
33, New Hampshire,2011,11,1063369,738938,69.5,699618,65.8,39320,5.3
34, New Jersey,2011,11,6929920,4575923,66,4151567,59.9,424356,9.3
35, New Mexico,2011,11,1588050,927454,58.4,859863,54.1,67591,7.3
36, New York,2011,11,15513323,9556997,61.6,8743315,56.4,813682,8.5
51000, New York city,2011,11,6651257,3994408,60.1,3617683,54.4,376725,9.4
37, North Carolina,2011,11,7451477,4679145,62.8,4208165,56.5,470980,10.1
38, North Dakota,2011,11,537207,391260,72.8,378801,70.5,12459,3.2
39, Ohio,2011,11,9007712,5745836,63.8,5270678,58.5,475158,8.3
40, Oklahoma,2011,11,2877986,1781679,61.9,1684282,58.5,97397,5.5
41, Oregon,2011,11,3079645,1994860,64.8,1809617,58.8,185243,9.3
42, Pennsylvania,2011,11,10136404,6408612,63.2,5913540,58.3,495072,7.7
44, Rhode Island,2011,11,845742,559786,66.2,498474,58.9,61312,11
45, South Carolina,2011,11,3627646,2188894,60.3,1973095,54.4,215799,9.9
46, South Dakota,2011,11,626751,446983,71.3,427729,68.2,19254,4.3
47, Tennessee,2011,11,4991472,3107219,62.3,2840913,56.9,266306,8.6
48, Texas,2011,11,19105904,12576962,65.8,11630243,60.9,946719,7.5
49, Utah,2011,11,2004296,1335333,66.6,1258132,62.8,77201,5.8
50, Vermont,2011,11,511024,356508,69.8,338251,66.2,18257,5.1
51, Virginia,2011,11,6274099,4227390,67.4,3954876,63,272514,6.4
53, Washington,2011,11,5338490,3440275,64.4,3159925,59.2,280350,8.1
54, West Virginia,2011,11,1487590,809104,54.4,749353,50.4,59751,7.4
55, Wisconsin,2011,11,4466891,3075869,68.9,2851587,63.8,224282,7.3
56, Wyoming,2011,11,439418,304504,69.3,286325,65.2,18179,6
01, Alabama,2011,12,3734683,2185010,58.5,1994618,53.4,190392,8.7
02, Alaska,2011,12,532076,365671,68.7,338095,63.5,27576,7.5
04, Arizona,2011,12,4963381,3047727,61.4,2778825,56,268902,8.8
05, Arkansas,2011,12,2261056,1364056,60.3,1261291,55.8,102765,7.5
06, California,2011,12,29114664,18469241,63.4,16381644,56.3,2087597,11.3
037, Los Angeles County,2011,12,7766220,4928280,63.5,4347561,56,580719,11.8
08, Colorado,2011,12,3956931,2749769,69.5,2517876,63.6,231893,8.4
09, Connecticut,2011,12,2837493,1915340,67.5,1753314,61.8,162026,8.5
10, Delaware,2011,12,715053,446201,62.4,414510,58,31691,7.1
11, District of Columbia,2011,12,522157,354889,68,320236,61.3,34653,9.8
12, Florida,2011,12,15315092,9289835,60.7,8426736,55,863099,9.3
13, Georgia,2011,12,7424650,4767599,64.2,4308707,58,458892,9.6
15, Hawaii,2011,12,1060869,656523,61.9,612414,57.7,44109,6.7
16, Idaho,2011,12,1185520,769548,64.9,709965,59.9,59583,7.7
17, Illinois,2011,12,9972047,6586549,66.1,5962923,59.8,623626,9.5
18, Indiana,2011,12,5016897,3201486,63.8,2925295,58.3,276191,8.6
19, Iowa,2011,12,2382411,1666736,70,1577591,66.2,89145,5.3
20, Kansas,2011,12,2167913,1496515,69,1406144,64.9,90371,6
21, Kentucky,2011,12,3380258,2054336,60.8,1874902,55.5,179434,8.7
22, Louisiana,2011,12,3490514,2086631,59.8,1936543,55.5,150088,7.2
23, Maine,2011,12,1081085,700108,64.8,648912,60,51196,7.3
24, Maryland,2011,12,4576360,3107880,67.9,2890142,63.2,217738,7
25, Massachusetts,2011,12,5321573,3497899,65.7,3259580,61.3,238319,6.8
26, Michigan,2011,12,7772459,4684886,60.3,4246482,54.6,438404,9.4
27, Minnesota,2011,12,4166245,2950830,70.8,2776403,66.6,174427,5.9
28, Mississippi,2011,12,2249476,1341351,59.6,1216791,54.1,124560,9.3
29, Missouri,2011,12,4659337,3020372,64.8,2784865,59.8,235507,7.8
30, Montana,2011,12,787517,504138,64,473258,60.1,30880,6.1
31, Nebraska,2011,12,1405024,1008982,71.8,967276,68.8,41706,4.1
32, Nevada,2011,12,2105492,1364376,64.8,1192847,56.7,171529,12.6
33, New Hampshire,2011,12,1064110,738885,69.4,700072,65.8,38813,5.3
34, New Jersey,2011,12,6932436,4575109,66,4151422,59.9,423687,9.3
35, New Mexico,2011,12,1588762,927394,58.4,860484,54.2,66910,7.2
36, New York,2011,12,15520422,9561987,61.6,8744223,56.3,817764,8.6
51000, New York city,2011,12,6656852,3996640,60,3617463,54.3,379177,9.5
37, North Carolina,2011,12,7458108,4682632,62.8,4219676,56.6,462956,9.9
38, North Dakota,2011,12,538101,391899,72.8,379791,70.6,12108,3.1
39, Ohio,2011,12,9009541,5739218,63.7,5277947,58.6,461271,8
40, Oklahoma,2011,12,2880077,1784491,62,1688775,58.6,95716,5.4
41, Oregon,2011,12,3082145,1992429,64.6,1809926,58.7,182503,9.2
42, Pennsylvania,2011,12,10139206,6411019,63.2,5922406,58.4,488613,7.6
44, Rhode Island,2011,12,846056,559195,66.1,498490,58.9,60705,10.9
45, South Carolina,2011,12,3631211,2187724,60.2,1975735,54.4,211989,9.7
46, South Dakota,2011,12,627398,447025,71.3,428081,68.2,18944,4.2
47, Tennessee,2011,12,4995309,3101996,62.1,2842262,56.9,259734,8.4
48, Texas,2011,12,19135673,12576704,65.7,11659891,60.9,916813,7.3
49, Utah,2011,12,2007032,1333971,66.5,1261754,62.9,72217,5.4
50, Vermont,2011,12,511064,356006,69.7,338170,66.2,17836,5
51, Virginia,2011,12,6280095,4226121,67.3,3958263,63,267858,6.3
53, Washington,2011,12,5344052,3445721,64.5,3168491,59.3,277230,8
54, West Virginia,2011,12,1487667,808721,54.4,750368,50.4,58353,7.2
55, Wisconsin,2011,12,4468666,3073596,68.8,2853852,63.9,219744,7.1
56, Wyoming,2011,12,440037,304580,69.2,286683,65.1,17897,5.9
01, Alabama,2012,1,3736437,2179750,58.3,1993523,53.4,186227,8.5
02, Alaska,2012,1,532472,365200,68.6,337946,63.5,27254,7.5
04, Arizona,2012,1,4970220,3048161,61.3,2782738,56,265423,8.7
05, Arkansas,2012,1,2262001,1362428,60.2,1261262,55.8,101166,7.4
06, California,2012,1,29143906,18456650,63.3,16397835,56.3,2058815,11.2
037, Los Angeles County,2012,1,7773043,4917205,63.3,4345185,55.9,572020,11.6
08, Colorado,2012,1,3962382,2747283,69.3,2517729,63.5,229554,8.4
09, Connecticut,2012,1,2838829,1912351,67.4,1752189,61.7,160162,8.4
10, Delaware,2012,1,715709,446183,62.3,414872,58,31311,7
11, District of Columbia,2012,1,523099,355798,68,321609,61.5,34189,9.6
12, Florida,2012,1,15334438,9292160,60.6,8441097,55,851063,9.2
13, Georgia,2012,1,7433130,4765809,64.1,4312847,58,452962,9.5
15, Hawaii,2012,1,1061464,654711,61.7,611452,57.6,43259,6.6
16, Idaho,2012,1,1186669,770197,64.9,711077,59.9,59120,7.7
17, Illinois,2012,1,9975600,6580816,66,5972028,59.9,608788,9.3
18, Indiana,2012,1,5019202,3195782,63.7,2926439,58.3,269343,8.4
19, Iowa,2012,1,2383466,1665187,69.9,1577773,66.2,87414,5.2
20, Kansas,2012,1,2168823,1494362,68.9,1405492,64.8,88870,5.9
21, Kentucky,2012,1,3381405,2050998,60.7,1876189,55.5,174809,8.5
22, Louisiana,2012,1,3492387,2087233,59.8,1938549,55.5,148684,7.1
23, Maine,2012,1,1081268,699764,64.7,649142,60,50622,7.2
24, Maryland,2012,1,4580372,3108021,67.9,2892744,63.2,215277,6.9
25, Massachusetts,2012,1,5326196,3498166,65.7,3262377,61.3,235789,6.7
26, Michigan,2012,1,7775523,4681300,60.2,4250546,54.7,430754,9.2
27, Minnesota,2012,1,4168954,2947490,70.7,2776132,66.6,171358,5.8
28, Mississippi,2012,1,2250158,1338147,59.5,1216211,54.1,121936,9.1
29, Missouri,2012,1,4661081,3013958,64.7,2784819,59.7,229139,7.6
30, Montana,2012,1,788035,504102,64,473787,60.1,30315,6
31, Nebraska,2012,1,1405885,1008839,71.8,967953,68.9,40886,4.1
32, Nevada,2012,1,2108162,1363603,64.7,1195245,56.7,168358,12.3
33, New Hampshire,2012,1,1064856,738518,69.4,700039,65.7,38479,5.2
34, New Jersey,2012,1,6935079,4573226,65.9,4149396,59.8,423830,9.3
35, New Mexico,2012,1,1589488,927044,58.3,861016,54.2,66028,7.1
36, New York,2012,1,15527852,9564435,61.6,8742699,56.3,821736,8.6
51000, New York city,2012,1,6662721,3997850,60,3617028,54.3,380822,9.5
37, North Carolina,2012,1,7464904,4685349,62.8,4230281,56.7,455068,9.7
38, North Dakota,2012,1,538992,392396,72.8,380609,70.6,11787,3
39, Ohio,2012,1,9011434,5734275,63.6,5284949,58.6,449326,7.8
40, Oklahoma,2012,1,2882186,1786242,62,1692448,58.7,93794,5.3
41, Oregon,2012,1,3084630,1988854,64.5,1808723,58.6,180131,9.1
42, Pennsylvania,2012,1,10142177,6412680,63.2,5929453,58.5,483227,7.5
44, Rhode Island,2012,1,846369,558445,66,498475,58.9,59970,10.7
45, South Carolina,2012,1,3634938,2186464,60.2,1977447,54.4,209017,9.6
46, South Dakota,2012,1,628071,446838,71.1,428215,68.2,18623,4.2
47, Tennessee,2012,1,4999080,3097157,62,2843050,56.9,254107,8.2
48, Texas,2012,1,19165965,12571937,65.6,11683759,61,888178,7.1
49, Utah,2012,1,2009736,1335279,66.4,1265082,62.9,70197,5.3
50, Vermont,2012,1,511126,355362,69.5,337888,66.1,17474,4.9
51, Virginia,2012,1,6285701,4222321,67.2,3959095,63,263226,6.2
53, Washington,2012,1,5349660,3452355,64.5,3177413,59.4,274942,8
54, West Virginia,2012,1,1487764,808113,54.3,750875,50.5,57238,7.1
55, Wisconsin,2012,1,4470446,3070628,68.7,2854971,63.9,215657,7
56, Wyoming,2012,1,440634,304445,69.1,286913,65.1,17532,5.8
01, Alabama,2012,2,3737775,2175635,58.2,1992089,53.3,183546,8.4
02, Alaska,2012,2,533089,364748,68.4,337774,63.4,26974,7.4
04, Arizona,2012,2,4976397,3048882,61.3,2786310,56,262572,8.6
05, Arkansas,2012,2,2262688,1360339,60.1,1260404,55.7,99935,7.3
06, California,2012,2,29169798,18447162,63.2,16411184,56.3,2035978,11
037, Los Angeles County,2012,2,7779179,4907194,63.1,4342602,55.8,564592,11.5
08, Colorado,2012,2,3967744,2744941,69.2,2517116,63.4,227825,8.3
09, Connecticut,2012,2,2839834,1908624,67.2,1749642,61.6,158982,8.3
10, Delaware,2012,2,716266,446164,62.3,415034,57.9,31130,7
11, District of Columbia,2012,2,523980,357117,68.2,323319,61.7,33798,9.5
12, Florida,2012,2,15351863,9296328,60.6,8454837,55.1,841491,9.1
13, Georgia,2012,2,7441106,4764273,64,4315884,58,448389,9.4
15, Hawaii,2012,2,1062469,653076,61.5,610580,57.5,42496,6.5
16, Idaho,2012,2,1187686,770719,64.9,711923,59.9,58796,7.6
17, Illinois,2012,2,9977857,6576290,65.9,5978214,59.9,598076,9.1
18, Indiana,2012,2,5020887,3188573,63.5,2924640,58.2,263933,8.3
19, Iowa,2012,2,2384208,1663580,69.8,1577533,66.2,86047,5.2
20, Kansas,2012,2,2169771,1492333,68.8,1404669,64.7,87664,5.9
21, Kentucky,2012,2,3382463,2048659,60.6,1877591,55.5,171068,8.4
22, Louisiana,2012,2,3494007,2088242,59.8,1940786,55.5,147456,7.1
23, Maine,2012,2,1081314,699615,64.7,649301,60,50314,7.2
24, Maryland,2012,2,4584142,3108088,67.8,2894197,63.1,213891,6.9
25, Massachusetts,2012,2,5330155,3498974,65.6,3264746,61.3,234228,6.7
26, Michigan,2012,2,7777560,4677505,60.1,4251976,54.7,425529,9.1
27, Minnesota,2012,2,4171190,2944994,70.6,2775710,66.5,169284,5.7
28, Mississippi,2012,2,2250749,1334895,59.3,1215042,54,119853,9
29, Missouri,2012,2,4662219,3008235,64.5,2784077,59.7,224158,7.5
30, Montana,2012,2,788463,504157,63.9,474178,60.1,29979,5.9
31, Nebraska,2012,2,1406707,1008717,71.7,968546,68.9,40171,4
32, Nevada,2012,2,2110764,1363319,64.6,1197373,56.7,165946,12.2
33, New Hampshire,2012,2,1065436,738232,69.3,699770,65.7,38462,5.2
34, New Jersey,2012,2,6936724,4572104,65.9,4146808,59.8,425296,9.3
35, New Mexico,2012,2,1590072,926718,58.3,861491,54.2,65227,7
36, New York,2012,2,15533103,9568747,61.6,8742066,56.3,826681,8.6
51000, New York city,2012,2,6667844,4000423,60,3618134,54.3,382289,9.6
37, North Carolina,2012,2,7471872,4687985,62.7,4239253,56.7,448732,9.6
38, North Dakota,2012,2,539929,392930,72.8,381373,70.6,11557,2.9
39, Ohio,2012,2,9012201,5731180,63.6,5291278,58.7,439902,7.7
40, Oklahoma,2012,2,2884156,1787662,62,1695613,58.8,92049,5.1
41, Oregon,2012,2,3086730,1984596,64.3,1806253,58.5,178343,9
42, Pennsylvania,2012,2,10143682,6416137,63.3,5935248,58.5,480889,7.5
44, Rhode Island,2012,2,846652,557824,65.9,498546,58.9,59278,10.6
45, South Carolina,2012,2,3638505,2185903,60.1,1978893,54.4,207010,9.5
46, South Dakota,2012,2,628681,446604,71,428238,68.1,18366,4.1
47, Tennessee,2012,2,5002582,3094096,61.8,2843731,56.8,250365,8.1
48, Texas,2012,2,19194543,12581835,65.5,11704383,61,877452,7
49, Utah,2012,2,2012392,1331198,66.2,1268263,63,62935,4.7
50, Vermont,2012,2,511107,354783,69.4,337552,66,17231,4.9
51, Virginia,2012,2,6292490,4218049,67,3958507,62.9,259542,6.2
53, Washington,2012,2,5355254,3459848,64.6,3185999,59.5,273849,7.9
54, West Virginia,2012,2,1487648,807794,54.3,751038,50.5,56756,7
55, Wisconsin,2012,2,4471727,3068522,68.6,2855567,63.9,212955,6.9
56, Wyoming,2012,2,441268,304220,68.9,287031,65,17189,5.7
01, Alabama,2012,3,3739321,2173644,58.1,1991104,53.2,182540,8.4
02, Alaska,2012,3,533381,364426,68.3,337625,63.3,26801,7.4
04, Arizona,2012,3,4982803,3050044,61.2,2789251,56,260793,8.6
05, Arkansas,2012,3,2263565,1358109,60,1258810,55.6,99299,7.3
06, California,2012,3,29195443,18445792,63.2,16424830,56.3,2020962,11
037, Los Angeles County,2012,3,7785591,4900245,62.9,4341084,55.8,559161,11.4
08, Colorado,2012,3,3972960,2743601,69.1,2516649,63.3,226952,8.3
09, Connecticut,2012,3,2841002,1904314,67,1745620,61.4,158694,8.3
10, Delaware,2012,3,716829,446185,62.2,414992,57.9,31193,7
11, District of Columbia,2012,3,524857,358725,68.3,325222,62,33503,9.3
12, Florida,2012,3,15369634,9303773,60.5,8468399,55.1,835374,9
13, Georgia,2012,3,7449017,4764404,64,4318945,58,445459,9.3
15, Hawaii,2012,3,1062816,651755,61.3,609893,57.4,41862,6.4
16, Idaho,2012,3,1188795,771103,64.9,712536,59.9,58567,7.6
17, Illinois,2012,3,9980816,6574536,65.9,5981261,59.9,593275,9
18, Indiana,2012,3,5023170,3180618,63.3,2919810,58.1,260808,8.2
19, Iowa,2012,3,2385211,1662015,69.7,1576690,66.1,85325,5.1
20, Kansas,2012,3,2170593,1490738,68.7,1403751,64.7,86987,5.8
21, Kentucky,2012,3,3383526,2048252,60.5,1879434,55.5,168818,8.2
22, Louisiana,2012,3,3495696,2089768,59.8,1943114,55.6,146654,7
23, Maine,2012,3,1081497,699718,64.7,649374,60,50344,7.2
24, Maryland,2012,3,4587822,3108973,67.8,2895102,63.1,213871,6.9
25, Massachusetts,2012,3,5334673,3500416,65.6,3266409,61.2,234007,6.7
26, Michigan,2012,3,7780449,4674978,60.1,4251685,54.6,423293,9.1
27, Minnesota,2012,3,4173907,2943537,70.5,2775538,66.5,167999,5.7
28, Mississippi,2012,3,2251220,1332365,59.2,1213667,53.9,118698,8.9
29, Missouri,2012,3,4663809,3004112,64.4,2783008,59.7,221104,7.4
30, Montana,2012,3,788963,504449,63.9,474559,60.1,29890,5.9
31, Nebraska,2012,3,1407566,1008820,71.7,969077,68.8,39743,3.9
32, Nevada,2012,3,2113359,1363757,64.5,1199248,56.7,164509,12.1
33, New Hampshire,2012,3,1066181,738277,69.2,699419,65.6,38858,5.3
34, New Jersey,2012,3,6938932,4572304,65.9,4143868,59.7,428436,9.4
35, New Mexico,2012,3,1590566,926490,58.2,861751,54.2,64739,7
36, New York,2012,3,15539464,9575456,61.6,8742131,56.3,833325,8.7
51000, New York city,2012,3,6673330,4004593,60,3620502,54.3,384091,9.6
37, North Carolina,2012,3,7477813,4690963,62.7,4245775,56.8,445188,9.5
38, North Dakota,2012,3,540788,393520,72.8,382069,70.7,11451,2.9
39, Ohio,2012,3,9013965,5727867,63.5,5294585,58.7,433282,7.6
40, Oklahoma,2012,3,2886108,1789039,62,1698086,58.8,90953,5.1
41, Oregon,2012,3,3089178,1980071,64.1,1802745,58.4,177326,9
42, Pennsylvania,2012,3,10146344,6422861,63.3,5939931,58.5,482930,7.5
44, Rhode Island,2012,3,846901,557571,65.8,498778,58.9,58793,10.5
45, South Carolina,2012,3,3641843,2186140,60,1980232,54.4,205908,9.4
46, South Dakota,2012,3,629348,446419,70.9,428181,68,18238,4.1
47, Tennessee,2012,3,5006319,3092834,61.8,2843922,56.8,248912,8
48, Texas,2012,3,19222731,12563758,65.4,11722322,61,841436,6.7
49, Utah,2012,3,2015192,1335297,66.3,1271263,63.1,64034,4.8
50, Vermont,2012,3,511158,354381,69.3,337236,66,17145,4.8
51, Virginia,2012,3,6297993,4214269,66.9,3956965,62.8,257304,6.1
53, Washington,2012,3,5360596,3466956,64.7,3192664,59.6,274292,7.9
54, West Virginia,2012,3,1487710,807907,54.3,750858,50.5,57049,7.1
55, Wisconsin,2012,3,4473499,3067746,68.6,2855416,63.8,212330,6.9
56, Wyoming,2012,3,441895,303990,68.8,287027,65,16963,5.6
01, Alabama,2012,4,3740838,2173494,58.1,1991037,53.2,182457,8.4
02, Alaska,2012,4,533893,364174,68.2,337455,63.2,26719,7.3
04, Arizona,2012,4,4989316,3051345,61.2,2791656,56,259689,8.5
05, Arkansas,2012,4,2264414,1355831,59.9,1256764,55.5,99067,7.3
06, California,2012,4,29222479,18449665,63.1,16440520,56.3,2009145,10.9
037, Los Angeles County,2012,4,7792257,4895433,62.8,4340784,55.7,554649,11.3
08, Colorado,2012,4,3978413,2743294,69,2516847,63.3,226447,8.3
09, Connecticut,2012,4,2842175,1899200,66.8,1740242,61.2,158958,8.4
10, Delaware,2012,4,717434,446181,62.2,414769,57.8,31412,7
11, District of Columbia,2012,4,525740,360448,68.6,327187,62.2,33261,9.2
12, Florida,2012,4,15387537,9312582,60.5,8481558,55.1,831024,8.9
13, Georgia,2012,4,7457330,4765619,63.9,4322617,58,443002,9.3
15, Hawaii,2012,4,1063591,650783,61.2,609546,57.3,41237,6.3
16, Idaho,2012,4,1189917,771346,64.8,713010,59.9,58336,7.6
17, Illinois,2012,4,9983758,6574291,65.8,5981264,59.9,593027,9
18, Indiana,2012,4,5025264,3172844,63.1,2913076,58,259768,8.2
19, Iowa,2012,4,2386148,1660230,69.6,1575227,66,85003,5.1
20, Kansas,2012,4,2171582,1489485,68.6,1402934,64.6,86551,5.8
21, Kentucky,2012,4,3384772,2049721,60.6,1881638,55.6,168083,8.2
22, Louisiana,2012,4,3497367,2090997,59.8,1945016,55.6,145981,7
23, Maine,2012,4,1081643,699864,64.7,649294,60,50570,7.2
